['Dr. Reshma Phulwar', '11', 'Dentist', '300', '96% ', 'Chembur', 'Mumbai']
['Dr. Deepanshu Jhunthra', '18', 'Ayurveda', '1000', '100% ', 'Vaishali Nagar', 'Tiruchirappalli']
['Dr. Ila Joshi', '19', 'Dentist', '750', '98% ', 'Bhankrota', 'Tiruchirappalli']
['Dr. Neha Bhargava', '7', 'Dermatologist', '1200', '51% ', 'Lal Kothi', 'Tiruchirappalli']
['Dr. Kunal Shet', '13', 'Homoeopath', '1500', '100% ', 'Jaipur', 'Tiruchirappalli']
['Dr. Riddhi Rathi', '22', 'Ayurveda', '300', '100% ', 'Jaipur', 'Tiruchirappalli']
['Dr. Himanshu Gupta', '15', 'Dentist', '299', '96% ', 'Indira Nagar', 'Tiruchirappalli']
['Dr. Amit Anand', '18', 'Dermatologist', '300', '50% ', 'Hazratganj', 'Tiruchirappalli']
['Dr. Faiz Warsi', '33', 'Homoeopath', '2000', '100% ', 'Vrindavan Colony', 'Tiruchirappalli']
['Dr. Harshita Rai', '17', 'Ayurveda', '800', '82% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Tarun Singh', '15', 'Dentist', '300', '100% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Nishita Sinha', '25', 'Dermatologist', '250', '100% ', 'Telibagh', 'Tiruchirappalli']
['Dr. Indrajeet  Singh', '12', 'Homoeopath', '1000', '100% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Harsh Vardhan Sinha', '9', 'Ayurveda', '1000', '80% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Geeta Verma Gupta', '12', 'Dentist', '600', '100% ', 'Indira Nagar', 'Tiruchirappalli']
['Dr. Sumegha Paliwal', '27', 'Dermatologist', '300', '100% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Asma Parveen', '23', 'Homoeopath', '500', '100% ', 'Thakurganj', 'Tiruchirappalli']
['Dr. Nawed Khan', '23', 'Ayurveda', '200', '100% ', 'LDA Colony sector G', 'Tiruchirappalli']
['Dr. Suyash Singh Tomar', '9', 'Dentist', '500', '50% ', 'Gomtinagar Vistar', 'Tiruchirappalli']
['Dr. Pragati Gogia', '16', 'Dermatologist', '500', '100% ', 'LDA Colony sector G', 'Tiruchirappalli']
['Dr. Safi Abbas Rizvi', '14', 'Homoeopath', '600', '100% ', 'Sector-14 Indiranagar', 'Tiruchirappalli']
['Dr. Neeraj Pandey', '14', 'Ayurveda', '500', '100% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Kanchan Srivastava', '6', 'Dentist', '300', '40% ', 'Aliganj', 'Tiruchirappalli']
['Dr. Ratan Kumar Singh', '38', 'Dermatologist', '1000', '60% ', 'Lucknow Chowk', 'Tiruchirappalli']
['Dr. Ajay Kumar Rai', '16', 'Homoeopath', '800', '100% ', 'Vikas Nagar', 'Tiruchirappalli']
['Dr. Rajeev Agarwal', '11', 'Ayurveda', '800', '60% ', 'Aliganj', 'Tiruchirappalli']
['Dr. Ravi Singh', '37', 'Dentist', '900', '100% ', 'Indira Nagar', 'Tiruchirappalli']
['Dr. Gajendra Singh', '33', 'Dermatologist', '1500', '100% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Devendra Singh', '19', 'Homoeopath', '700', '100% ', 'Alambagh', 'Tiruchirappalli']
['Dr. Bharat Ratna  Pandey', '29', 'Ayurveda', '1000', '88% ', 'Gomtinagar', 'Tiruchirappalli']
['Dr. Amit Pandey', '22', 'Dentist', '1500', '100% ', 'Ashiyana', 'Tiruchirappalli']
['Dr. R.K.Singh', '11', 'Dermatologist', '1500', '100% ', 'Mahanagar', 'Tiruchirappalli']
['Dr. Avinash Chandra', '16', 'Homoeopath', '800', '94% ', 'Mahanagar', 'Tiruchirappalli']
['Dr. Dipendra Singh', '8', 'Ayurveda', '850', '100% ', 'Alambagh', 'Tiruchirappalli']
['Dr. Dileep Pandey', '13', 'Dentist', '500', '100% ', 'Mohibullahpur', 'Bhubaneswar']
['Dr. Jitendra Shukla', '15', 'Dermatologist', '1500', '96% ', 'Mahanagar', 'Bhubaneswar']
['Dr. A. K. Jain', '11', 'Homoeopath', '700', '98% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Pradeep Kumar Chaurasiya', '10', 'Ayurveda', '1000', '98% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Vineeta Singh', '12', 'Dentist', '1500', '99% ', 'Alambagh', 'Bhubaneswar']
['Dr. Sanjive Kumar Srivastava', '32', 'Dermatologist', '1000', '95% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Imran Ahmad Khan', '9', 'Homoeopath', '450', '100% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Niteesh Pandey', '18', 'Ayurveda', '1000', '99% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Rukmesh Mishra', '7', 'Dentist', '250', '94% ', 'Charbagh', 'Bhubaneswar']
['Dr. Rakesh Sharma', '12', 'Dermatologist', '1000', '100% ', 'LDA Colony sector G', 'Bhubaneswar']
['Dr. Ruchit Tripathi', '8', 'Homoeopath', '250', '98% ', 'Balaganj', 'Bhubaneswar']
['Dr. Devesh Kumar Srivastava', '12', 'Ayurveda', '500', '86% ', 'Industria Area Chinhat', 'Bhubaneswar']
['Dr. Jayanti Singh', '16', 'Dentist', '300', '100% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Prashant Kumar', '14', 'Dermatologist', '700', '100% ', 'Chinhat', 'Bhubaneswar']
['Dr. Dheeraj K Bramhabhatt', '18', 'Homoeopath', '299', '89% ', 'Krishna Nagar', 'Bhubaneswar']
['Dr. Shitij Srivastava', '9', 'Ayurveda', '250', '97% ', 'Aliganj', 'Bhubaneswar']
['Dr. Gaurav Bhalla', '30', 'Dentist', '300', '83% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Ankit Bahal', '31', 'Dermatologist', '300', '95% ', 'Ashiyana', 'Bhubaneswar']
['Dr. Rohit Madan', '31', 'Homoeopath', '300', '80% ', 'Gokhley Marg', 'Bhubaneswar']
['Dr. Damini Agarwal', '11', 'Ayurveda', '300', '92% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Arpita Anand', '28', 'Dentist', '300', '96% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Akhil Agarwal', '12', 'Dermatologist', '300', '100% ', 'Gomtinagar', 'Bhubaneswar']
['Dr. Vipul Chopra', '13', 'Homoeopath', '600', '100% ', 'Aliganj', 'Bhubaneswar']
['Dr. Sumit Gupta', '7', 'Ayurveda', '500', '100% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Devesh Singh', '8', 'Dentist', '500', '100% ', 'Indira Nagar', 'Bhubaneswar']
['Dr. Ali Mohammad Abdi', '13', 'Dermatologist', '500', '98% ', 'Aliganj', 'Bhubaneswar']
['Dr. Garima Mehrotra', '14', 'Homoeopath', '300', '96% ', 'Aliganj', 'Bhubaneswar']
['Dr. Anurag', '12', 'Ayurveda', '500', '94% ', 'vijyant khand', 'Bhubaneswar']
['Dr. Rohit Gupta', '26', 'Dentist', '500', '99% ', 'Niralanagar', 'Bhubaneswar']
['Dr. Ankur Talwar', '7', 'Dermatologist', '350', '99% ', 'Indira Nagar', 'Bhubaneswar']
['Dr. Nidhi Singh Tandon', '18', 'Homoeopath', '1000', '95% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Amrita Srivastava', '12', 'Ayurveda', '1500', '95% ', 'Chinhat', 'Bhubaneswar']
['Dr. Shikha Gupta', '33', 'Dentist', '1500', '98% ', 'Jankipuram', 'Bhubaneswar']
['Dr. Pankaj Tiwari', '18', 'Dermatologist', '750', '97% ', 'Hazratganj', 'Bhubaneswar']
['Dr. Jay Verma', '23', 'Homoeopath', '1500', '96% ', 'Aliganj', 'Bhubaneswar']
['Dr. Shikhar Tripathi', '13', 'Ayurveda', '1500', '100% ', 'Khurram Nagar', 'Bhubaneswar']
['Dr. Manisha', '22', 'Dentist', '2000', '95% ', 'Indira Nagar', 'Salem']
['Dr. Akshay Kumar', '13', 'Dermatologist', '1000', '100% ', 'Jankipuram', 'Salem']
['Dr. Deepmala', '12', 'Homoeopath', '1000', '97% ', 'Nilmatha', 'Salem']
['Dr. Itti Mishra', '19', 'Ayurveda', '1200', '100% ', 'Guramba', 'Salem']
['Dr. Shailendra Singh', '17', 'Dentist', '1500', '97% ', 'Indira Nagar', 'Salem']
['Dr. Tushar Mittal', '11', 'Dermatologist', '1500', '100% ', 'Ashiyana', 'Salem']
['Dr. Aquib Khan', '21', 'Homoeopath', '500', '99% ', 'Aliganj', 'Salem']
['Dr. Ram Krishna Mishra', '19', 'Ayurveda', '2000', '99% ', 'Aliganj', 'Salem']
['Dr. Nitin Agarwal', '36', 'Dentist', '3000', '99% ', 'Mahanagar', 'Salem']
['Dr. Anoop Kumar Singh', '12', 'Dermatologist', '800', '100% ', 'Indira Nagar', 'Salem']
['Dr. Atul Singh', '12', 'Homoeopath', '3000', '98% ', 'Gomtinagar', 'Salem']
['Dr. VP Singh', '13', 'Ayurveda', '2500', '98% ', 'Indira Nagar', 'Salem']
['Dr. Nidhi Agarwal', '34', 'Dentist', '1000', '98% ', 'Gomtinagar', 'Salem']
['Dr. Sonahita Agarwal', '13', 'Dermatologist', '2500', '91% ', 'Gomtinagar', 'Salem']
['Dr. Kirti Agarwal', '37', 'Homoeopath', '300', '90% ', 'Mahanagar', 'Salem']
['Dr. Khyati Kaushal', '14', 'Ayurveda', '300', '90% ', 'Gomtinagar', 'Salem']
['Dr. Rahul Chaturvedi', '14', 'Dentist', '700', '100% ', 'Jankipuram', 'Salem']
['Dr. Samarjit Singh', '8', 'Dermatologist', '500', '88% ', 'Telibagh', 'Salem']
['Dr. Kshama Talwar', '22', 'Homoeopath', '300', '96% ', 'Indira Nagar', 'Salem']
['Dr. B. N. Gupta', '22', 'Ayurveda', '400', '91% ', 'Hazratganj', 'Salem']
['Dr. Gaurav Murti', '19', 'Dentist', '300', '93% ', 'Ashiyana', 'Salem']
['Dr. Suresh Talwar', '39', 'Dermatologist', '500', '100% ', 'Indira Nagar', 'Salem']
['Dr. Pranshu Mishra', '11', 'Homoeopath', '1000', '99% ', 'Alambagh', 'Salem']
['Dr. Sanjeev Saxena', '11', 'Ayurveda', '200', '97% ', 'Alambagh', 'Salem']
['Dr. Mukesh Bansal', '25', 'Dentist', '500', '95% ', 'Arya Nagar', 'Salem']
['Dr. Shatrughan Sahay', '15', 'Dermatologist', '500', '100% ', 'Lucknow Chowk', 'Salem']
['Dr. A.N. Tiwari', '13', 'Homoeopath', '500', '95% ', 'Indira Nagar', 'Salem']
['Dr. Nitin Tiwari', '16', 'Ayurveda', '1500', '90% ', 'Indira Nagar', 'Salem']
['Dr. Dipti Jain Bhalla', '12', 'Dentist', '1000', '100% ', 'Hazratganj', 'Salem']
['Dr. Akanksha', '13', 'Dermatologist', '800', '96% ', 'Hazratganj', 'Salem']
['Dr. Asit Shukla', '13', 'Homoeopath', '1000', '98% ', 'Hazratganj', 'Salem']
['Dr. Madhu Verma', '13', 'Ayurveda', '1000', '95% ', 'Indira Nagar', 'Salem']
['Dr. Subodh Kumar Singh', '24', 'Dentist', '1000', '100% ', 'Indira Nagar', 'Salem']
['Dr. Parimal Anand', '17', 'Dermatologist', '1000', '75% ', 'Gomtinagar', 'Salem']
['Dr. Vartika Singh', '18', 'Homoeopath', '1200', '98% ', 'Gomtinagar', 'Salem']
['Dr. Ashish Mahendra', '23', 'Ayurveda', '800', '98% ', 'Gomtinagar', 'Salem']
['Dr. Amita Agarwal', '10', 'Dentist', '700', '100% ', 'LDA Colony sector G', 'Mira-Bhayandar']
['Dr. Manisha Yadav', '11', 'Dermatologist', '700', '100% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Savita Chaudhary', '37', 'Homoeopath', '450', '100% ', 'Rajajipuram', 'Mira-Bhayandar']
['Dr. Pallavi Pandey', '11', 'Ayurveda', '450', '99% ', 'Hazratganj', 'Mira-Bhayandar']
['Dr. Shafali Yadav', '12', 'Dentist', '450', '99% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Shefali Porwal', '13', 'Dermatologist', '450', '100% ', 'Vrindavan yojana\t', 'Mira-Bhayandar']
['Dr. Nisha Maheshwari', '41', 'Homoeopath', '700', '98% ', 'Aliganj', 'Mira-Bhayandar']
['Dr. Dora Chopra', '24', 'Ayurveda', '450', '100% ', 'Mahanagar', 'Mira-Bhayandar']
['Dr. Kshitij Saxena', '53', 'Dentist', '450', '55% ', 'Ashiyana', 'Mira-Bhayandar']
['Dr. Rahul Tripathi', '21', 'Dermatologist', '1200', '96% ', 'Sarojini Nagar', 'Mira-Bhayandar']
['Dr. Vikas Kumar', '24', 'Homoeopath', '800', '100% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Jitender Kumar Aurora', '15', 'Ayurveda', '800', '99% ', 'Gokhley Marg', 'Mira-Bhayandar']
['Dr. Abhishek Sinha', '19', 'Dentist', '1000', '89% ', 'Indira Nagar', 'Mira-Bhayandar']
['Dr. Chetan Chandra', '24', 'Dermatologist', '2000', '79% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Sunil Yadav', '23', 'Homoeopath', '700', '85% ', 'Jankipuram', 'Mira-Bhayandar']
['Dr. Hemant Gupta', '24', 'Ayurveda', '299', '84% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Anju Loomba', '18', 'Dentist', '400', '75% ', 'Hazratganj', 'Mira-Bhayandar']
['Dr. Preeti Singh', '33', 'Dermatologist', '299', '100% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Renu', '14', 'Homoeopath', '1500', '100% ', 'Hazratganj', 'Mira-Bhayandar']
['Dr. Subodh Natu', '21', 'Ayurveda', '600', '100% ', 'Rajendranagar', 'Mira-Bhayandar']
['Dr. Shubham Shekhar', '40', 'Dentist', '500', '100% ', 'Mahanagar', 'Mira-Bhayandar']
['Dr. Priyanka Verma', '26', 'Dermatologist', '200', '100% ', 'Chinhat', 'Mira-Bhayandar']
['Dr. Rahul Sinha', '34', 'Homoeopath', '500', '100% ', 'Jankipuram Extension', 'Mira-Bhayandar']
['Dr. Saurabh Sinha', '16', 'Ayurveda', '500', '100% ', 'Gomtinagar', 'Mira-Bhayandar']
['Dr. Deepak Singh', '34', 'Dentist', '500', '100% ', 'Swaroop Nagar', 'Mira-Bhayandar']
['Dr. Sharwan Kumar Singh', '16', 'Dermatologist', '750', '100% ', 'Meston Road', 'Mira-Bhayandar']
['Dr. Anish Gupta', '30', 'Homoeopath', '200', '100% ', 'Harsh Nagar', 'Mira-Bhayandar']
['Dr. Mohita Mehrotra', '13', 'Ayurveda', '1500', '100% ', 'Sarvodaya Nagar', 'Mira-Bhayandar']
['Dr. Vinisha Pandey', '12', 'Dentist', '500', '100% ', 'Swaroop Nagar', 'Mira-Bhayandar']
['Dr. Anshul Vij', '10', 'Dermatologist', '800', '90% ', 'Govind Nagar', 'Mira-Bhayandar']
['Dr. Amit Kumar Saxena', '9', 'Homoeopath', '2000', '88% ', 'Lal bangla', 'Mira-Bhayandar']
['Dr. Anjali Singh', '9', 'Ayurveda', '900', '98% ', 'Swaroop Nagar', 'Mira-Bhayandar']
['Dr. Pranav Mathur', '13', 'Dentist', '800', '70% ', 'Vikas Nagar', 'Mira-Bhayandar']
['Dr. Atish Ashok Kundu', '30', 'Dermatologist', '900', '100% ', 'Colonelganj', 'Mira-Bhayandar']
['Dr. R M Singh', '10', 'Homoeopath', '1000', '67% ', 'Kakadeo', 'Mira-Bhayandar']
['Dr. Rashmi Rastogi', '14', 'Ayurveda', '1300', '100% ', 'Sarvodaya Nagar', 'Mira-Bhayandar']
['Dr. Mamta Bhura', '13', 'Dentist', '1000', '98% ', 'Swaroop Nagar', 'Thiruvananthapuram']
['Dr. Pravina Patel', '24', 'Dermatologist', '1000', '100% ', 'Kakadeo', 'Thiruvananthapuram']
['Dr. Pragati Gogia', '36', 'Homoeopath', '1000', '100% ', 'Sarvodaya Nagar', 'Thiruvananthapuram']
['Dr. Sandeep Kumar Mishra', '23', 'Ayurveda', '1000', '100% ', 'Swaroop Nagar', 'Thiruvananthapuram']
['Dr. Alkab Hasan Nazar', '14', 'Dentist', '700', '100% ', 'Kakadeo', 'Thiruvananthapuram']
['Dr. Sudeep Chauhan', '18', 'Dermatologist', '450', '100% ', 'Pandu Nagar', 'Thiruvananthapuram']
['Dr. Vivek Mishra', '18', 'Homoeopath', '1500', '98% ', 'Saket Nagar', 'Thiruvananthapuram']
['Dr. Madhulika Shukla', '41', 'Ayurveda', '1700', '95% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. Avashesh Gupta', '14', 'Dentist', '500', '40% ', 'Naubasta', 'Thiruvananthapuram']
['Dr. R. C. Pandey', '12', 'Dermatologist', '1000', '100% ', 'Kidwai Nagar', 'Thiruvananthapuram']
['Dr. Dhreeti', '17', 'Homoeopath', '800', '83% ', 'Fazalganj', 'Thiruvananthapuram']
['Dr. Tushar Mittal', '20', 'Ayurveda', '1200', '50% ', 'Kanpur', 'Thiruvananthapuram']
['Dr. Amit Awasthi', '13', 'Dentist', '600', '100% ', 'Juhi Colony', 'Thiruvananthapuram']
['Dr. Jagveer Singh', '18', 'Dermatologist', '500', '91% ', 'Mall Road', 'Thiruvananthapuram']
['Dr. Siddharth Mittal', '34', 'Homoeopath', '800', '100% ', 'Ashok Nagar', 'Thiruvananthapuram']
['Dr. Roy', '39', 'Ayurveda', '300', '100% ', 'Harsh Nagar', 'Thiruvananthapuram']
['Dr. Swati Raghuvanshi', '25', 'Dentist', '500', '100% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. A.K Dwivedi', '18', 'Dermatologist', '1000', '96% ', 'Kaushalpuri', 'Thiruvananthapuram']
['Dr. Saurabh Gupta', '20', 'Homoeopath', '300', '100% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. Govind Singh Raghvanshi', '15', 'Ayurveda', '300', '100% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. Satyendra Kumar Katiyar', '31', 'Dentist', '1500', '100% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. Om Shanker Shukla', '7', 'Dermatologist', '700', '98% ', 'Panki', 'Thiruvananthapuram']
['Dr. Latika Mathur', '21', 'Homoeopath', '250', '100% ', 'Vikas Nagar', 'Thiruvananthapuram']
['Dr. Gyan Prakash', '28', 'Ayurveda', '300', '100% ', 'Naubasta', 'Thiruvananthapuram']
['Dr. Arvind Kumar Shakya', '14', 'Dentist', '700', '95% ', 'Kanpur', 'Thiruvananthapuram']
['Dr. Sonam Gupta', '16', 'Dermatologist', '500', '100% ', 'Kalyanpur', 'Thiruvananthapuram']
['Dr. Vipin Raj', '28', 'Homoeopath', '500', '99% ', 'Parade', 'Thiruvananthapuram']
['Dr. RK.Katiyar', '36', 'Ayurveda', '600', '100% ', 'Avas Vikas Yojna No. 3', 'Thiruvananthapuram']
['Dr. Namrata Vashistha', '45', 'Dentist', '500', '99% ', 'Ashok Nagar', 'Thiruvananthapuram']
['Dr. Rachana Tripathi', '12', 'Dermatologist', '500', '96% ', 'Bithoor', 'Thiruvananthapuram']
['Dr. Shashwat Magarkar', '9', 'Homoeopath', '700', '100% ', 'Dhantoli', 'Thiruvananthapuram']
['Dr. Sanjog Chandak', '23', 'Ayurveda', '500', '100% ', 'Dhantoli', 'Thiruvananthapuram']
['Dr. Rashmi Gupta', '24', 'Dentist', '500', '100% ', 'Dharampeth', 'Thiruvananthapuram']
['Dr. Piyush Kothari', '12', 'Dermatologist', '500', '100% ', 'Dhantoli', 'Thiruvananthapuram']
['Dr. Priya Mehta', '10', 'Homoeopath', '1000', '100% ', 'Ramdaspeth', 'Thiruvananthapuram']
['Dr. Ketaki Joglekar', '10', 'Ayurveda', '850', '99% ', 'Dhantoli', 'Thiruvananthapuram']
['Dr. Prasanna Sangwai', '7', 'Dentist', '800', '100% ', 'Dharampeth', 'Bhiwandi']
['Dr. Rahul Vedpathak', '13', 'Dermatologist', '800', '100% ', 'Khamla', 'Bhiwandi']
['Dr. Milan Kothari', '21', 'Homoeopath', '800', '98% ', 'Abhyankar Nagar', 'Bhiwandi']
['Dr. Janhavi Naik', '11', 'Ayurveda', '800', '100% ', 'Pratap Nagar', 'Bhiwandi']
['Dr. Nitin G Barde', '11', 'Dentist', '700', '95% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Manoj Waghmare', '42', 'Dermatologist', '1000', '100% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Jasleen Tuli', '14', 'Homoeopath', '800', '100% ', 'Sadar', 'Bhiwandi']
['Dr. Sanjay Dayani', '35', 'Ayurveda', '850', '90% ', 'Central Avenue Road', 'Bhiwandi']
['Dr. Manjiri Oke', '8', 'Dentist', '500', '98% ', 'Ranapratap Nagar', 'Bhiwandi']
['Dr. Hema Sushrut Fulare', '12', 'Dermatologist', '450', '98% ', 'Dhantoli', 'Bhiwandi']
['Dr. Ayesha Faizan', '13', 'Homoeopath', '2200', '100% ', 'Jafar Nagar', 'Bhiwandi']
['Dr. Riyaz Aamir', '8', 'Ayurveda', '1500', '97% ', 'Sadar', 'Bhiwandi']
['Dr. Anshul Jain', '14', 'Dentist', '700', '100% ', 'Dhantoli', 'Bhiwandi']
['Dr. Vishal Chadha', '12', 'Dermatologist', '700', '99% ', 'Dharampeth', 'Bhiwandi']
['Dr. Sangita Renge', '12', 'Homoeopath', '1000', '96% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Pallavi Singh', '18', 'Ayurveda', '750', '98% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Harsha Sonkusale', '19', 'Dentist', '1200', '96% ', 'Manewada', 'Bhiwandi']
['Dr. Puja Fule', '7', 'Dermatologist', '1500', '100% ', 'Jaripatka', 'Bhiwandi']
['Dr. Namrata H Khajanchi', '13', 'Homoeopath', '300', '98% ', 'Khamla', 'Bhiwandi']
['Dr. Rashmi shukla', '22', 'Ayurveda', '299', '100% ', 'Abhyankar Nagar', 'Bhiwandi']
['Dr. Radhika Rathkanthiwar', '15', 'Dentist', '300', '96% ', 'Kamthi', 'Bhiwandi']
['Dr. Rushi P Vyas', '18', 'Dermatologist', '2000', '94% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Ravi Wairagade', '33', 'Homoeopath', '800', '100% ', 'Nandavan Colony', 'Bhiwandi']
['Dr. Prof. Rekha Bhutada', '17', 'Ayurveda', '300', '97% ', 'Civil Lines', 'Bhiwandi']
['Dr. Sonali Anwikar', '15', 'Dentist', '250', '87% ', 'Dharampeth', 'Bhiwandi']
['Dr. Kapil Khakhkhar', '25', 'Dermatologist', '1000', '92% ', 'Nandavan Colony', 'Bhiwandi']
['Dr. Nitesh Khonde', '12', 'Homoeopath', '1000', '97% ', 'Dharampeth', 'Bhiwandi']
['Dr. Ashwini Kale', '9', 'Ayurveda', '600', '80% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Pranaty Ganvir', '12', 'Dentist', '300', '90% ', 'Narendra Nagar', 'Bhiwandi']
['Dr. Pradeep Kolhe', '27', 'Dermatologist', '500', '96% ', 'Ramdaspeth', 'Bhiwandi']
['Dr. Bharati Gidwani', '23', 'Homoeopath', '200', '99% ', 'Byramji Town', 'Bhiwandi']
['Dr. Jayant Deopujari', '23', 'Ayurveda', '500', '99% ', 'Ranapratap Nagar', 'Bhiwandi']
['Dr. Vaishali Raut', '9', 'Dentist', '500', '97% ', 'Nagpur Airport', 'Bhiwandi']
['Dr. Virendra Kale', '16', 'Dermatologist', '600', '99% ', 'Dighori Naka', 'Bhiwandi']
['Dr. Uma Rathi', '14', 'Homoeopath', '500', '96% ', 'Shankar Nagar', 'Bhiwandi']
['Dr. Khushbu Agrawal', '14', 'Ayurveda', '300', '99% ', 'Dharampeth', 'Bhiwandi']
['Dr. Priyanka Suryawanshi', '6', 'Dentist', '1000', '99% ', 'Ramdaspeth', 'Saharanpur']
['Dr. Uday Patni', '38', 'Dermatologist', '800', '100% ', 'Amravati Road', 'Saharanpur']
['Dr. Sarita Kothari', '16', 'Homoeopath', '800', '100% ', 'Dhantoli', 'Saharanpur']
['Dr. Akhil Rathi', '11', 'Ayurveda', '900', '100% ', 'Dhantoli', 'Saharanpur']
['Dr. Vinay Kothari', '37', 'Dentist', '1500', '100% ', 'Abhyankar Nagar', 'Saharanpur']
['Dr. Vrushali Ghode', '33', 'Dermatologist', '700', '100% ', 'Somalwada', 'Saharanpur']
['Dr. Pooja Rangari', '19', 'Homoeopath', '1000', '100% ', 'Jaitala', 'Saharanpur']
['Dr. Gopal Suresh Tawani', '29', 'Ayurveda', '1500', '88% ', 'Abhyankar Nagar', 'Saharanpur']
['Dr. Asra Khumushi', '22', 'Dentist', '1500', '100% ', 'Byramji Town', 'Saharanpur']
['Dr. Sushil Pande', '11', 'Dermatologist', '800', '100% ', 'Ramdaspeth', 'Saharanpur']
['Dr. Milind Borkar', '16', 'Homoeopath', '850', '94% ', 'Sadar', 'Saharanpur']
['Dr. Sudhir Singh', '8', 'Ayurveda', '500', '92% ', 'Dharampeth', 'Saharanpur']
['Dr. Anagha Kalkotwar', '13', 'Dentist', '1500', '100% ', 'Ramdaspeth', 'Saharanpur']
['Dr. Neha Rajesh Rathi', '15', 'Dermatologist', '700', '100% ', 'Congress Nagar', 'Saharanpur']
['Dr. Lokesh Jappa', '11', 'Homoeopath', '1000', '99% ', 'Reshim Bagh', 'Saharanpur']
['Dr. Ashish Pimpley', '10', 'Ayurveda', '1500', '100% ', 'Indora', 'Saharanpur']
['Dr. Devendra Jilhare', '12', 'Dentist', '1000', '88% ', 'Azamshah Layout', 'Saharanpur']
['Dr. Shashank Bansod', '32', 'Dermatologist', '450', '100% ', 'Ramdaspeth', 'Saharanpur']
['Dr. Sanjay Tambe', '9', 'Homoeopath', '1000', '98% ', 'Sadar', 'Saharanpur']
['Dr. Kavita Chandak', '18', 'Ayurveda', '250', '100% ', 'Ganeshpeth Colony', 'Saharanpur']
['Dr. Salim Khan.', '7', 'Dentist', '1000', '100% ', 'Jafar Nagar', 'Saharanpur']
['Dr. Dinesh Digambarrao Achlerkar', '12', 'Dermatologist', '250', '80% ', 'Jafar Nagar', 'Saharanpur']
['Dr. Jayesh Dhiman', '8', 'Homoeopath', '500', '100% ', 'Ganeshpeth Colony', 'Saharanpur']
['Dr. Kishor Sayre', '12', 'Ayurveda', '300', '100% ', 'Pratap Nagar', 'Saharanpur']
['Dr. Aparna Akre', '16', 'Dentist', '700', '67% ', 'Jaiprakash Nagar', 'Saharanpur']
['Dr. Ajay C Kamble', '14', 'Dermatologist', '299', '100% ', 'Medical College', 'Saharanpur']
['Dr. Pravin Bhendarkar', '18', 'Homoeopath', '250', '100% ', 'Omkar Nagar', 'Saharanpur']
['Dr. Pushkar Pande', '9', 'Ayurveda', '300', '98% ', 'Dharampeth', 'Saharanpur']
['Dr. L N Kothari', '30', 'Dentist', '300', '100% ', 'Dhantoli', 'Saharanpur']
['Dr. Lata Kale', '31', 'Dermatologist', '300', '100% ', 'Dighori Naka', 'Saharanpur']
['Dr. Mamta Gupta', '31', 'Homoeopath', '300', '100% ', 'KT Nagar', 'Saharanpur']
['Dr. Datta Wanjari', '11', 'Ayurveda', '300', '100% ', 'Medical College', 'Saharanpur']
['Dr. Nitin Agrawal', '28', 'Dentist', '300', '100% ', 'Itwari', 'Saharanpur']
['Dr. Pravin Narayan Sahave', '12', 'Dermatologist', '600', '100% ', 'Rameshwari', 'Saharanpur']
['Dr. Sachin Mendhe', '13', 'Homoeopath', '500', '100% ', 'Narendra Nagar', 'Saharanpur']
['Dr. Santosh  Pusadkar', '7', 'Ayurveda', '500', '100% ', 'Deo Nagar', 'Saharanpur']
